,id,questionnaire_id,user_id,question_id,answer_text,question_option_id,created_at,updated_at,16,17,18,19,20,21,22,23,24,25,26
132,615,2,121,26,,27,2021-03-22 09:27:43,2021-03-22 09:27:43,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
133,617,2,121,18,,9,2021-03-22 09:27:43,2021-03-22 09:27:43,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan
134,618,2,121,19,,11,2021-03-22 09:27:43,2021-03-22 09:27:43,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan
135,619,2,121,20,,13,2021-03-22 09:27:43,2021-03-22 09:27:43,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan
136,620,2,121,21,,28,2021-03-22 09:27:43,2021-03-22 09:27:43,nan,nan,nan,nan,nan,2,nan,nan,nan,nan,nan
137,621,2,121,22,,29,2021-03-22 09:27:43,2021-03-22 09:27:43,nan,nan,nan,nan,nan,nan,3,nan,nan,nan,nan
138,622,2,121,23,,28,2021-03-22 09:27:43,2021-03-22 09:27:43,nan,nan,nan,nan,nan,nan,nan,2,nan,nan,nan
139,623,2,121,24,,30,2021-03-22 09:27:43,2021-03-22 09:27:43,nan,nan,nan,nan,nan,nan,nan,nan,4,nan,nan
140,624,2,121,25,,27,2021-03-22 09:27:43,2021-03-22 09:27:43,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,nan
141,625,2,121,26,sabor margo,25,2021-03-22 09:27:43,2021-03-22 09:27:43,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
142,686,2,121,26,,28,2021-03-24 10:20:36,2021-03-24 10:20:36,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
143,687,2,121,17,,29,2021-03-24 10:20:36,2021-03-24 10:20:36,nan,3,nan,nan,nan,nan,nan,nan,nan,nan,nan
144,688,2,121,18,,9,2021-03-24 10:20:36,2021-03-24 10:20:36,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan
145,689,2,121,19,,11,2021-03-24 10:20:36,2021-03-24 10:20:36,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan
146,690,2,121,20,,13,2021-03-24 10:20:36,2021-03-24 10:20:36,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan
147,691,2,121,21,,29,2021-03-24 10:20:36,2021-03-24 10:20:36,nan,nan,nan,nan,nan,3,nan,nan,nan,nan,nan
148,692,2,121,22,,28,2021-03-24 10:20:36,2021-03-24 10:20:36,nan,nan,nan,nan,nan,nan,2,nan,nan,nan,nan
149,693,2,121,23,,28,2021-03-24 10:20:36,2021-03-24 10:20:36,nan,nan,nan,nan,nan,nan,nan,2,nan,nan,nan
150,694,2,121,24,,29,2021-03-24 10:20:36,2021-03-24 10:20:36,nan,nan,nan,nan,nan,nan,nan,nan,3,nan,nan
